ID,Group,GaveBirth,AdultFemalesNum,Age,Rainfall,GroupSize,,,,,,
8,4,1,2,79,"687,33",7,,,,,,
4,4,1,2,126,"687,33",7,,,,,,
8,4,1,2,91,"692,89",9,,,,,,
4,4,1,2,138,"692,89",9,,,,,,
43,4,0,2,30,"692,89",8,,,,,,
8,4,0,2,103,"692,89",8,,,,,,
4,4,0,2,150,"692,89",8,,,,,,
23,5,0,3,36,"692,89",5,,,,,,
54,5,0,3,43,"692,89",5,,,,,,
50,5,0,3,162,"692,89",5,,,,,,
